Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9953703703703703
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9930555555555556
Decision Tree,0.9210526315789473,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.9163359788359788
